matrix,threads,nnz,rows,rep,l1miss,l2miss,l1miss_sc,l2miss_sc,l1red,l2red
ct20stif,48,2698463,52329,1,138620,97709,127955.453125,126490.453125,7.6933681106622425,-29.456296886673695
Cube_Coup_dt0,48,127206144,2164760,1,6665027,6356574,6379825.0,6221660.0,4.2790824403261984,2.12243261857724
Cube_Coup_dt6,48,127206144,2164760,1,6665027,6356565,6379825.0,6221666.0,4.2790824403261984,2.1221996471364646
CurlCurl_1,48,2472071,226451,1,151627,132176,151523.328125,115878.328125,0.06837296457754885,12.33028074310011
CurlCurl_2,48,8921789,806529,1,589936,522771,543892.859375,418208.859375,7.8047687588145145,20.00151894902357
CurlCurl_3,48,13544618,1219574,1,895786,755148,824823.96875,751533.96875,7.921761587030832,0.4785858202630478
CurlCurl_4,48,26515867,2380515,1,1754483,1608989,1613159.265625,1476135.265625,8.055007336919196,8.256969710482794
darcy003,48,2101242,389874,1,375192,110055,364665.71875,98495.71875,2.805571880530502,10.503185907046477
dawson5,48,1010777,51537,1,54703,0,47380.171875,47380.171875,13.386520163427965,0
dblp-2010,48,1615400,326186,1,258050,86313,254353.875,75721.875,1.4323290060065879,12.270602342636682
debr,48,4194298,1048576,1,360721,348387,360518.71875,339602.71875,0.05607692648889308,2.5214147628929897
delaunay_n18,48,1572792,262144,1,132411,0,129062.625,73724.625,2.5287740444525,0
delaunay_n19,48,3145646,524288,1,262361,209810,256466.15625,152136.15625,2.2468445195741746,27.488605762356418
delaunay_n20,48,6291372,1048576,1,527580,458623,513781.0625,436017.0625,2.6155156563933435,4.929089360978407
delaunay_n21,48,12582816,2097152,1,1048336,961207,1023230.5,940971.5,2.3947951801712426,2.105217710649215
delaunay_n22,48,25165738,4194304,1,2113276,1963075,2056590.96875,1937402.96875,2.682329769041053,1.30774581969614
delaunay_n23,48,50331568,8388608,1,4201262,3966052,4098865.25,3928775.25,2.437285510877446,0.9398956443334581
delaunay_n24,48,100663202,16777216,1,8455934,7971521,8228762.59375,7897055.59375,2.6865323954751776,0.9341430104744126
denormal,48,1156224,89400,1,64607,0,54198.0,54198.0,16.111257294101257,0
dgreen,48,38259877,1200611,1,25016185,2184919,24462249.734375,1965586.734375,2.214307519811674,10.03846209516234
dielFilterV2real,48,48538952,1157456,1,3156004,2613616,2842527.375,2385990.375,9.932706834338614,8.709222204026911
dielFilterV3real,48,89306020,1102824,1,5584595,4685724,5014159.6875,4310684.6875,10.214443706302784,8.003871173376835
d_pretok,48,1641672,182730,1,103339,0,101450.375,76953.375,1.8276013896012153,0
Dubcova2,48,1030225,65025,1,76552,0,70663.796875,48291.796875,7.691769156912947,0
Dubcova3,48,3636649,146689,1,229913,155272,221022.921875,170467.921875,3.8667139852900876,-9.786646578262662
ecology1,48,4996000,1000000,1,390746,328143,331059.5,234187.5,15.275012412155212,28.632486446457794
ecology2,48,4995991,999999,1,390745,328143,331058.078125,234187.078125,15.275159471010506,28.63261501083369
Emilia_923,48,41005206,923136,1,2370727,2073895,2161634.03125,1922119.03125,8.819782655278317,7.3184017874578995
engine,48,4706073,143571,1,353355,235212,326311.171875,220597.171875,7.653444305302033,6.213470454313556
eu-2005,48,19235140,862664,1,1427412,1050563,1305163.1875,976299.1875,8.564367715838173,7.068953741945985
europe_osm,48,108109320,50912018,1,18298121,17571747,18216746.375,17552523.375,0.44471574431057703,0.10940076134717852
ex11,48,1096948,16614,1,54780,0,51419.4375,51419.4375,6.134652245345016,0
exdata_1,48,2269501,6001,1,105950,105873,106382.859375,106382.859375,-0.4085506134969325,-0.4815763934147516
F1,48,26837113,343791,1,1976991,1426017,1925026.671875,1257989.671875,2.6284554722302733,11.782982119077122
F2,48,5294285,71505,1,372051,253950,352712.609375,248169.609375,5.197779504691561,2.276192409923213
Fault_639,48,28614564,638802,1,1572778,1437281,1481350.6875,1341307.6875,5.81310982859628,6.677421638496578
fcondp2,48,11294316,201822,1,566061,552778,555745.0625,529421.0625,1.8224073907229081,4.225373929497918
FEM_3D_thermal2,48,3489300,147900,1,186199,178686,179841.9375,163560.9375,3.414122793355496,8.464604110003023
fe_rotor,48,1324862,99617,1,313898,0,297591.90625,62102.90625,5.194710941133744,0
filter3D,48,2707179,106437,1,197657,133595,154296.015625,126899.015625,21.93748988146132,5.012151933081328
fl2010,48,2346294,484481,1,671798,144477,616247.53125,109982.53125,8.26892440138256,23.8754049087398
Flan_1565,48,117406044,1564794,1,5787403,5751271,5751050.3125,5622624.3125,0.628134717765464,2.2368392569225133
flickr,48,9837214,820878,1,6691724,643467,6630014.40625,567657.40625,0.9221778087380771,11.781426825307282
Freescale1,48,18920347,3428755,1,1747309,1579011,1736121.265625,1541390.265625,0.6402836805052798,2.3825504936317734
Freescale2,48,23042677,2999349,1,2548605,1519819,2188134.484375,1500896.484375,14.143836162331944,1.2450506030652335
fullb,48,11708077,199187,1,615950,589908,602373.109375,548816.109375,2.204219599805179,6.9658134192111305
FullChip,48,26621990,2987012,1,2220873,1978964,2158546.78125,1949453.78125,2.806383739637521,1.4911953299807374
G3_circuit,48,7660826,1585478,1,1244484,529515,1186722.21875,517682.21875,4.641424176606529,2.2346451469741178
Ga10As10H30,48,6115633,113081,1,358568,296638,333013.296875,286670.296875,7.12687778189911,3.360224625637983
Ga19As19H42,48,8884839,133123,1,522478,429254,471249.828125,416476.828125,9.804847644302725,2.97659937356437
ga2010,48,1418056,291086,1,149706,0,135397.375,66471.375,9.557816653975125,0
Ga3As3H12,48,5970947,61349,1,354236,285190,306118.140625,279888.140625,13.583559936031348,1.8590621603141764
Ga41As41H72,48,18488476,268096,1,1116413,905986,986991.3125,866647.3125,11.592635297152578,4.342085584103949
GaAsH6,48,3381809,61349,1,196313,115396,181900.296875,158522.296875,7.341695723156389,-37.372436544594265
GAP-road,48,57708624,23947347,1,9122724,6743257,8580984.75,6693624.75,5.938349663981942,0.736027857161606
gas_sensor,48,1703365,66917,1,92168,0,79845.234375,79845.234375,13.369895869499176,0
Ge87H76,48,7892195,112985,1,465765,380703,416363.640625,369946.640625,10.606498851352077,2.8253939094254577
Ge99H100,48,8451395,112985,1,497645,407455,442628.140625,396159.140625,11.055443011584563,2.772296173810605
gearbox,48,9080404,153746,1,453675,440993,443690.9375,425643.9375,2.2007081060230345,3.4805682856643982
Geo_1438,48,63156690,1437960,1,3573969,3264172,3399334.84375,3061555.84375,4.886280665836777,6.2072757271981995
germany_osm,48,24738362,11548845,1,5088306,4677181,5073263.71875,4682882.71875,0.2956245408589814,-0.1219050267671916
G_n_pin_pout,48,1002396,100000,1,522584,0,518791.3125,46987.3125,0.7257565290938873,0
Goodwin_054,48,1030878,32510,1,53451,0,48322.40625,48322.40625,9.594944435090083,0
Goodwin_071,48,1797934,56021,1,93460,0,84278.15625,84278.15625,9.824356676653114,0
Goodwin_095,48,3226066,100037,1,167223,157688,160373.84375,151221.84375,4.0958218965094515,4.1006013456952966
Goodwin_127,48,5778545,178437,1,299146,282749,290508.296875,270869.296875,2.887453994036357,4.201501375778517
great-britain_osm,48,16313034,7733822,1,2883841,2614708,2871980.46875,2608131.46875,0.41127549160997434,0.25152067649619003
gsm_106857,48,21758924,589446,1,3830750,1302024,3570384.5625,1060724.5625,6.796722247601644,18.532641295398548
gupta1,48,2164210,31802,1,205296,0,168401.34375,101447.34375,17.97144428045359,0
gupta2,48,4248286,62064,1,397334,204618,319086.40625,199138.40625,19.69315330427298,2.6779627158900974
gupta3,48,9323427,16783,1,699332,438541,621732.640625,437035.640625,11.096211724188224,0.3432653674342878
gyro_k,48,1021159,17361,1,53955,0,47866.828125,47866.828125,11.283795524047818,0
gyro,48,1021159,17361,1,53955,0,47866.828125,47866.828125,11.283795524047818,0
H2O,48,2216736,67024,1,133113,0,129128.5,103909.5,2.9933214637187953,0
halfb,48,12387821,224617,1,635984,619958,627985.109375,580679.109375,1.2577188459143624,6.335734134409105
Hamrle3,48,5514242,1447360,1,540771,488857,525546.09375,486315.09375,2.815407307344514,0.5199692854965767
Hardesty1,48,12143314,938905,1,776756,658685,663723.84375,569217.84375,14.551822740989447,13.58269222010521
heart1,48,1387773,3557,1,66940,0,65051.859375,65051.859375,2.820646287720346,0
helm2d03,48,2741935,392257,1,230260,172476,224681.203125,128528.203125,2.42282501302875,25.480528812704378
higgs-twitter,48,14855842,456626,1,8300854,784587,8118037.59375,696367.59375,2.202380697817357,11.244056586458862
hollywood-2009,48,113891327,1139905,1,32197650,7114419,30980922.953125,5800506.953125,3.7789312166415874,18.46829722673067
hood,48,10768436,220542,1,610994,545141,592415.4375,504770.4375,3.040711119912798,7.405526735284999
Hook_1498,48,60917445,1498023,1,3361169,3137712,3171906.234375,2975358.234375,5.630861334999817,5.174272387809971
hugebubbles-00000,48,54940162,18318143,1,15741986,12724025,15569582.09375,12829650.09375,1.0951852342518917,-0.8301232805657015
hugebubbles-00010,48,58359528,19458087,1,30274002,27026273,30202896.875,27472335.875,0.23487190428275723,-1.6504786842048105
hugebubbles-00020,48,63580358,21198119,1,31750826,28040937,31661913.28125,28525401.28125,0.28003277379303454,-1.7277036115091304
hugetrace-00000,48,13758266,4588484,1,3791547,2578760,3721264.71875,2618100.71875,1.8536571286073995,-1.5255672784594145
hugetrace-00010,48,36164358,12057441,1,12910379,10298709,12831987.28125,10530268.28125,0.6071992057707989,-2.2484301794525896
hugetrace-00020,48,47997626,16002413,1,20536013,17045175,20455142.71875,17450775.71875,0.39379738048471236,-2.3795632415038273
hugetric-00000,48,17467046,5824554,1,4481777,3075417,4407882.78125,3090272.78125,1.648770537891555,-0.4830493311963874
hugetric-00010,48,19771708,6592765,1,9744688,7533080,9720772.8125,7835470.8125,0.2454176829468527,-4.014172323936557
hugetric-00020,48,21361554,7122792,1,10497355,8248682,10470512.84375,8549039.84375,0.25570399638766145,-3.6412828588858193
human_gene1,48,24669643,22283,1,7449628,1157885,7349298.515625,1156389.515625,1.3467717364544913,0.12915655483921115
human_gene2,48,18068388,14340,1,4289241,847931,4141755.6875,846955.6875,3.4384944212740667,0.11502262566175786
HV15R,48,283073458,2017169,1,14653272,13946386,13963229.34375,13511777.34375,4.7091370190221,3.116281567497128
hvdc2,48,1347273,189860,1,89361,0,85359.421875,63153.421875,4.477991657434451,0
ia2010,48,1021170,216007,1,94440,0,86141.34375,47867.34375,8.787226016518424,0
ifiss_mat,48,3599932,96307,1,184553,182287,184223.8125,168746.8125,0.17837017008664177,7.427950155523981
il2010,48,2164464,451554,1,524872,135807,491630.25,101459.25,6.333306025088022,25.29159027148821
imagesensor,48,1893170,118758,1,123357,0,122332.34375,88742.34375,0.830642971213632,0
in-2004,48,16917053,1382908,1,1015894,948356,972621.859375,930046.859375,4.259513357200652,1.9306189474205888
in2010,48,1281716,267071,1,162016,0,145803.4375,60080.4375,10.006766307031405,0
indochina-2004,48,194109311,7414866,1,12331237,10046676,10222669.953125,9919505.953125,17.09939600443167,1.2657922568121038
inline_1,48,36816342,503712,1,2115028,1865826,2008392.03125,1725766.03125,5.041823027874808,7.5065932595000815
ins2,48,2751484,309412,1,284053,81861,283948.8125,128975.8125,0.036678894431672965,-57.55465056620369
invextr1_new,48,1793881,30412,1,105465,0,96921.171875,84088.171875,8.101102854027403,0
italy_osm,48,14027956,6686493,1,2056017,1867857,2046073.4375,1851730.4375,0.48363230946047625,0.8633724369692113
kkt_power,48,14612663,2063494,1,3832966,980634,3368309.578125,967760.578125,12.122633539535702,1.312765198330876
kmer_A2a,48,360585172,170728175,1,114156912,112931813,114037138.9375,112999467.9375,0.10491967626103972,-0.05990777594263894
kmer_P1a,48,297829984,139353211,1,92715932,91614558,92611119.5,91689103.5,0.11304691409454849,-0.08136861829317563
kmer_U1a,48,138778562,67716231,1,44979254,44238839,44922951.09375,44294837.09375,0.1251752780292888,-0.1265812914981788
kmer_V1r,48,465410904,214005017,1,86317720,85644376,86160368.125,85645984.125,0.18229382680636144,-0.00187767729196836
kmer_V2a,48,117217600,55042369,1,36496998,35828940,36450681.0,35875169.0,0.126906328021828,-0.12902698209882849
kron_g500-logn16,48,4912469,65536,1,3815200,234385,3783959.984375,230271.984375,0.8188303529303838,1.7548117946967596
kron_g500-logn17,48,10228360,131072,1,8813917,487664,8783961.375,479454.375,0.3398673370761263,1.6834593080481643
kron_g500-logn18,48,21165908,262144,1,19370965,1008585,19335382.9375,992151.9375,0.18368760926469074,1.629318550246137
kron_g500-logn19,48,43562265,524288,1,41629226,2093606,41572686.171875,2057111.171875,0.13581762996266133,1.7431564547006457
kron_g500-logn20,48,89239674,1048576,1,87716676,9658241,87667345.71875,13511115.71875,0.05623820178730894,-39.892095452474216
kron_g500-logn21,48,182082942,2097152,1,182504426,62257564,182443010.90625,76020225.90625,0.03365129005145333,-22.10600772341494
ks2010,48,1121798,238600,1,111606,0,104209.28125,52584.28125,6.627527865885346,0
laminar_duct3D,48,3833077,67173,1,199086,166937,191045.484375,179675.484375,4.038714738856575,-7.630713607528588
language,48,1216334,399130,1,283488,29967,279693.65625,57015.65625,1.3384495110904167,-90.26147512263489
largebasis,48,5560100,440020,1,329770,326737,329678.6875,260629.6875,0.027689753464535886,20.232576200430316
ldoor,48,46522475,952203,1,2588718,2453565,2543302.015625,2249519.015625,1.7543812951043722,8.31630645102127
lhr71c,48,1528092,70304,1,79692,0,72807.3125,71629.3125,8.639119986949757,0
lhr71,48,1528092,70304,1,79692,0,72807.3125,71629.3125,8.639119986949757,0
li,48,1350309,22695,1,68275,0,63295.734375,63295.734375,7.2929558769681435,0
Lin,48,1766400,256000,1,122976,0,122882.0,82800.0,0.0764376788966953,0
Linux_call_graph,48,1208908,324085,1,254801,0,243162.5625,56667.5625,4.567657701500387,0
ljournal-2008,48,79023142,5363260,1,29981246,14353944,29497677.78125,14638036.78125,1.6129023415170938,-1.9791966671320442
loc-Gowalla,48,1900654,196591,1,855040,57446,833842.15625,89093.15625,2.479163986480165,-55.09026955749747
Long_Coup_dt0,48,87088992,1470152,1,4694418,4363716,4442604.5,4201680.5,5.36410477294523,3.7132457749312744
Long_Coup_dt6,48,87088992,1470152,1,4694418,4363716,4442604.5,4201681.5,5.36410477294523,3.713222858682829
lp1,48,1643420,534388,1,161324,51639,160987.3125,94279.3125,0.20870267288190225,-82.573854063789
m14b,48,3358036,214765,1,1518002,172859,1482059.9375,157407.9375,2.3677216828436327,8.938535164498234
M6,48,21003872,3501776,1,11589450,8742872,11585277.5,9223816.5,0.036002571304073964,-5.500989834919235
mac_econ_fwd500,48,1273389,206500,1,84820,0,82662.109375,59690.109375,2.5440823213864654,0
majorbasis,48,1750416,160000,1,107975,0,107882.75,82050.75,0.08543644362120861,0
marine1,48,6226538,400320,1,384997,333780,384559.96875,291868.96875,0.11351549492593449,12.556483686859607
mario002,48,2101242,389874,1,375192,110054,364665.71875,98495.71875,2.805571880530502,10.502372698856925
matrix_9,48,2121550,103430,1,117735,0,117560.65625,99447.65625,0.14808149658130548,0
mawi_201512012345,48,38040320,18571154,1,5134460,4524729,5093833.0,4529834.0,0.7912613984722834,-0.11282443655741593
mawi_201512020000,48,74485420,35991342,1,9816014,8805227,9742105.0625,8787919.0625,0.7529424621847524,0.1965643531961186
mawi_201512020030,48,143414960,68863315,1,18494167,16876354,18367970.25,16842925.25,0.682359740776646,0.19808040291167156
mawi_201512020130,48,270234840,128568730,1,34267128,31390634,34070230.125,31333542.125,0.5745969577608021,0.18187550783459805
mawi_201512020330,48,480047894,226196185,1,62663780,57214948,62217071.03125,57123042.03125,0.7128662981230943,0.16063279258769927
mc2depi,48,2100225,525825,1,149081,147839,148985.046875,98448.046875,0.06436308114380773,33.40860877373359
memchip,48,14810202,2707524,1,1228662,1151187,1224380.21875,1097736.21875,0.34849138737911645,4.64310153346068
mi2010,48,1578090,329885,1,240258,0,219519.96875,73972.96875,8.631567419191036,0
mip1,48,10352819,66463,1,503922,491609,492744.390625,485288.390625,2.2181229188247387,1.285698466667616
mixtank_new,48,1995041,29957,1,127894,0,111968.546875,93517.546875,12.452072126135706,0
ML_Geer,48,110879972,1504002,1,5574257,5430981,5429629.6875,5339220.6875,2.594557669300142,1.689571598574917
ML_Laplace,48,27689972,377002,1,1391569,1354922,1342752.4375,1297967.4375,3.5080231379112354,4.203530719849556
